axe,valeur_propre,variance_expliquee_pct,variance_cumulee_pct
Dim1,9.2531714467143,38.27948902063356,38.27948902063356
Dim2,3.332893073003917,13.7878612246293,52.06735024526286
Dim3,1.7449650506608048,7.218754227436068,59.286104472698916
Dim4,1.2816308715868607,5.301984855671835,64.58808932837076
Dim5,1.136302487699053,4.70077517232644,69.2888645006972
Dim6,1.0704660276643654,4.428416007301988,73.71728050799918
Dim7,0.9222654258102212,3.815324231774427,77.53260473977362
Dim8,0.8121230758707491,3.359675819822444,80.89228055959606
Dim9,0.7639872224996419,3.1605423787931617,84.05282293838921
Dim10,0.7292959731568853,3.0170279841906864,87.0698509225799
Dim11,0.6278193754375564,2.5972289638637007,89.6670798864436
Dim12,0.5946501297863012,2.4600109535802344,92.12709084002384
Dim13,0.35275939975641263,1.459332040658969,93.5864228806828
Dim14,0.31238144774911414,1.2922922987240137,94.87871517940683
Dim15,0.3031838724879944,1.2542428058283102,96.13295798523514
Dim16,0.24766895548843706,1.0245828813360938,97.15754086657122
Dim17,0.19747929430326686,0.8169530329807766,97.974493899552
Dim18,0.1727832219832254,0.7147877337996528,98.68928163335164
Dim19,0.10837233146410892,0.44832601409259343,99.13760764744424
Dim20,0.08888661806795616,0.36771547355493767,99.50532312099918
Dim21,0.06256417836162895,0.25882204738888165,99.76414516838807
Dim22,0.04702628813579183,0.1945432753236626,99.95868844371174
Dim23,0.009981360684355168,0.041291938545397866,99.99998038225712
Dim24,4.742130650164336e-06,1.9617742868239368e-05,99.99999999999999
