axe,eigenvalue,pct_of_variance,pct_of_variance_(cumulative),eigenvalue_benzecri,pct_of_variance_benzecri,pct_of_variance_cumulative_benzecri
Axe 1,0.37,12.33,12.33,0.094249,66.31116002983998,66.31116002983998
Axe 2,0.204,6.79,19.12,0.015475359999999999,10.888063252441771,77.19922328228175
Axe 3,0.18,6.01,25.13,0.009604000000000001,6.75712613318532,83.95634941546707
Axe 4,0.173,5.78,30.91,0.00815409,5.737006937874332,89.6933563533414
Axe 5,0.159,5.3,36.21,0.005610010000000001,3.9470580152468746,93.64041436858828
Axe 6,0.139,4.64,40.85,0.0027984100000000016,1.9688889361065327,95.60930330469482
Axe 7,0.136,4.55,45.4,0.002460160000000001,1.7309049799892964,97.34020828468411
Axe 8,0.13,4.32,49.71,0.0018490000000000004,1.3009086026925927,98.6411168873767
Axe 9,0.122,4.05,53.76,0.0011696399999999996,0.822928468390137,99.46404535576683
Axe 10,0.116,3.88,57.65,0.0007617600000000003,0.5359546442331583,99.99999999999999
