variable,ridge_pct,lasso_pct,rf_impurete_pct,rf_permutation_pct,acp_dim1_pct,moyenne_4_methodes
nb_types_services,6.22,6.47,33.33,50.81,7.88,20.94
brh_banque,6.5,6.47,27.32,16.92,8.0,13.04
brh_maison_de_transfert,6.55,7.1,5.92,7.96,8.44,7.19
brh_agent_non_bancaire,6.12,7.01,5.22,3.46,7.45,5.85
taux_epargne_formelle,4.74,4.97,7.7,7.04,4.36,5.76
brh_atm,6.41,6.64,3.73,3.43,7.5,5.54
brh_microfinance,6.36,6.48,2.27,0.85,7.55,4.7
part_urbaine,5.64,5.7,3.72,2.28,6.01,4.67
population_totale,5.59,5.98,1.79,1.4,5.9,4.13
superficie_urbaine_km2,5.51,5.59,0.99,2.02,6.13,4.05
taux_internet,4.39,4.42,2.7,1.17,3.83,3.3
densite_bancaire_10k,4.78,4.22,0.88,0.42,4.99,3.06
densite_hab_km2,4.82,3.68,0.75,0.25,4.34,2.77
taux_utilisation_OTA,4.35,4.41,0.66,0.3,3.55,2.65
brh_caisse_populaire,4.39,4.44,0.15,0.01,3.78,2.55
taux_compte_mobile,3.9,3.87,0.46,0.35,3.12,2.34
taux_compte_formel,3.65,3.73,0.71,0.06,2.91,2.21
score_connaissance_fka,2.55,2.57,0.21,0.38,1.5,1.44
taux_telephone_mobile,2.74,2.73,0.22,0.06,1.42,1.43
taux_satisfaction_banque,2.14,2.13,0.49,0.51,0.93,1.24
indice_privation_spatiale,0.66,0.58,0.33,0.14,0.08,0.36
superficie_km2,1.01,0.0,0.14,0.11,0.22,0.3
taille_moyenne_menage,0.61,0.54,0.17,0.08,0.07,0.29
taux_connaissance_banque,0.37,0.28,0.14,0.01,0.03,0.17
